At gamma =  [3.435872277850437164e+08,3.435872277852512598e+08]
New biggest  [1.083900801327118690e-01,1.084096692503577070e-01]
At gamma =  [3.460879007203723192e+08,3.460879007205079794e+08]
New biggest  [1.073371859271234768e-01,1.073629320775312951e-01]
At gamma =  [3.484485530803964138e+08,3.484485530805747509e+08]
New biggest  [1.052947534640954474e-01,1.053389269765551695e-01]
At gamma =  [3.499256078020478487e+08,3.499256078023537993e+08]
New biggest  [1.060808299860773185e-01,1.060894387603195099e-01]
At gamma =  [3.513101518537429571e+08,3.513101518538025618e+08]
New biggest  [1.106260060565985165e-01,1.106540705283443060e-01]
At gamma =  [3.551539471456159353e+08,3.551539471458102465e+08]
New biggest  [1.072634621377756420e-01,1.072987424310538201e-01]
At gamma =  [3.554755417184991241e+08,3.554755417187435031e+08]
New biggest  [1.105665699744895619e-01,1.105674534808749609e-01]
At gamma =  [3.592079347628540993e+08,3.592079347628600597e+08]
New biggest  [1.056585122205489224e-01,1.056803743868010570e-01]
At gamma =  [3.597232928780989647e+08,3.597232928782503009e+08]
New biggest  [1.076191471144146705e-01,1.076443076656391357e-01]
At gamma =  [3.629763261912750602e+08,3.629763261914492846e+08]
New biggest  [1.105060078303051474e-01,1.105129019247203942e-01]
At gamma =  [3.638743803910884261e+08,3.638743803911360502e+08]
New biggest  [1.083969947739900214e-01,1.084443086623158026e-01]
At gamma =  [3.659214309101076126e+08,3.659214309104351997e+08]
New biggest  [1.067365065675723035e-01,1.067740773473859622e-01]
At gamma =  [3.689156313961018920e+08,3.689156313963620067e+08]
New biggest  [1.103801196224230147e-01,1.104065041106249007e-01]
At gamma =  [3.706602756806675792e+08,3.706602756808502078e+08]
New biggest  [1.048296289987101781e-01,1.048412736013171198e-01]
At gamma =  [3.731586727353307009e+08,3.731586727354112267e+08]
New biggest  [1.097489304755387973e-01,1.097711373114982625e-01]
At gamma =  [3.755867028516303301e+08,3.755867028517839909e+08]
New biggest  [1.083416640642376194e-01,1.083866170802379320e-01]
At gamma =  [3.772550316631554365e+08,3.772550316634667516e+08]
New biggest  [1.059155006918046510e-01,1.059661696199735298e-01]
At gamma =  [3.791158639592968225e+08,3.791158639596476555e+08]
New biggest  [1.051635282442218156e-01,1.052143940125636057e-01]
At gamma =  [3.821335703950191140e+08,3.821335703953713775e+08]
New biggest  [1.122729417461744983e-01,1.123095950007503979e-01]
At gamma =  [3.833824924162363410e+08,3.833824924164901376e+08]
New biggest  [1.066446676061460763e-01,1.066785638596214614e-01]
At gamma =  [3.862278782055547237e+08,3.862278782057893872e+08]
New biggest  [1.090927741353235891e-01,1.091070169686799013e-01]
At gamma =  [3.884887781228785515e+08,3.884887781229770184e+08]
New biggest  [1.062667126760736547e-01,1.062953165224762853e-01]
At gamma =  [3.891256631023275852e+08,3.891256631025255919e+08]
New biggest  [1.062350364596510860e-01,1.062614785698422354e-01]
At gamma =  [3.920823727800590396e+08,3.920823727802419662e+08]
New biggest  [1.114513823564905054e-01,1.114867075994208506e-01]
At gamma =  [3.941134352393760085e+08,3.941134352396205068e+08]
New biggest  [1.054035261915587246e-01,1.054518188709609172e-01]
At gamma =  [3.970770606333454847e+08,3.970770606336798072e+08]
New biggest  [1.044316551433966123e-01,1.044425822288905376e-01]
At gamma =  [3.975312423380175233e+08,3.975312423380929828e+08]
New biggest  [1.156130355852591635e-01,1.156447398939528942e-01]
At gamma =  [4.003544860718919635e+08,4.003544860721112490e+08]
New biggest  [1.080150848159422833e-01,1.080499219983738768e-01]
At gamma =  [4.023328128735826612e+08,4.023328128738237619e+08]
New biggest  [1.082771647678488908e-01,1.082841533845643328e-01]
At gamma =  [4.056391825043652654e+08,4.056391825044134855e+08]
New biggest  [1.056448346990748743e-01,1.056801924822057537e-01]
At gamma =  [4.070746318719041348e+08,4.070746318721486926e+08]
New biggest  [1.058673676251963430e-01,1.058887463197623197e-01]
At gamma =  [4.087183645385841131e+08,4.087183645387319326e+08]
New biggest  [1.081784462915374445e-01,1.082257559903721383e-01]
At gamma =  [4.116090169775449634e+08,4.116090169778723121e+08]
New biggest  [1.092982143630591430e-01,1.093077914082393881e-01]
At gamma =  [4.139069864013440013e+08,4.139069864014100432e+08]
New biggest  [1.117390042865060024e-01,1.117890626946193983e-01]
At gamma =  [4.161766265624575019e+08,4.161766265628039837e+08]
New biggest  [1.086026755614326184e-01,1.086059068290256696e-01]
At gamma =  [4.168026291733365059e+08,4.168026291733586192e+08]
New biggest  [1.089739117218589404e-01,1.089977338409872376e-01]
At gamma =  [4.202831620974794626e+08,4.202831620976441503e+08]
New biggest  [1.111089113806341677e-01,1.111594698961943239e-01]
At gamma =  [4.208533459341517687e+08,4.208533459345015883e+08]
New biggest  [1.072208779637986303e-01,1.072697474012758584e-01]
At gamma =  [4.243224765907642841e+08,4.243224765911024213e+08]
New biggest  [1.098584695019658442e-01,1.098859590621300286e-01]
At gamma =  [4.260121096665138602e+08,4.260121096667039394e+08]
New biggest  [1.054932730372458716e-01,1.055251015828710393e-01]
At gamma =  [4.272449856678272486e+08,4.272449856680474281e+08]
New biggest  [1.085990872164571963e-01,1.086337113941803351e-01]
At gamma =  [4.301262992463216186e+08,4.301262992465611100e+08]
New biggest  [1.061147934091373479e-01,1.061665859186035482e-01]
At gamma =  [4.310908921254563928e+08,4.310908921258147359e+08]
New biggest  [1.070667815184338234e-01,1.070792141030954686e-01]
At gamma =  [4.330906012824845910e+08,4.330906012825704813e+08]
