There are 32 threads
Mertens at 404000000000: 207609
Mertens at 405000000000: 148845
Mertens at 406000000000: 98295
Mertens at 407000000000: 68802
Mertens at 408000000000: 78350
Mertens at 409000000000: 99672
Mertens at 410000000000: 80270
Mertens at 411000000000: 106126
Mertens at 412000000000: 93609
Mertens at 413000000000: 88042
Mertens at 414000000000: 84734
Mertens at 415000000000: 97818
Mertens at 416000000000: 118971
Mertens at 417000000000: 127253
Mertens at 418000000000: 133313
Mertens at 419000000000: 98975
Mertens at 420000000000: 110674
Mertens at 421000000000: 85899
Mertens at 422000000000: 83761
Mertens at 423000000000: 93901
Mertens at 424000000000: 83748
Mertens at 425000000000: 60201
Mertens at 426000000000: 74730
Mertens at 427000000000: 58358
Mertens at 428000000000: 35514
Mertens at 429000000000: 41248
Mertens at 430000000000: 58575
Mertens at 431000000000: 1562
Mertens at 432000000000: 18988
Mertens at 433000000000: 8514
Mertens at 434000000000: 16750
Mertens at 435000000000: 13741
Mertens at 436000000000: 14578
Mertens at 437000000000: -11052
Mertens at 438000000000: 1219
Mertens at 439000000000: 404
Mertens at 440000000000: -10715
Mertens at 441000000000: -17983
Mertens at 442000000000: -4650
Mertens at 443000000000: 50930
Mertens at 444000000000: 59979
Mertens at 445000000000: 42637
Mertens at 446000000000: 66066
Mertens at 447000000000: 60083
Mertens at 448000000000: 70504
Mertens at 449000000000: 65847
Mertens at 450000000000: 50002
Mertens at 451000000000: 3871
Mertens at 452000000000: -611
Mertens at 453000000000: -28583
Mertens at 454000000000: -10810
Mertens at 455000000000: -2031
Mertens at 456000000000: -33691
Mertens at 457000000000: -41714
Mertens at 458000000000: -10245
Mertens at 459000000000: -54961
Mertens at 460000000000: -89232
Mertens at 461000000000: -106707
Mertens at 462000000000: -96984
Mertens at 463000000000: -82171
Mertens at 464000000000: -85165
Mertens at 465000000000: -83119
Mertens at 466000000000: -47947
Mertens at 467000000000: 8569
Mertens at 468000000000: -6888
Mertens at 469000000000: 149
Mertens at 470000000000: 28692
Mertens at 471000000000: 33143
Mertens at 472000000000: 45174
Mertens at 473000000000: 12233
Mertens at 474000000000: 7794
Mertens at 475000000000: 32014
Mertens at 476000000000: 35457
Mertens at 477000000000: 62907
Mertens at 478000000000: 48160
Mertens at 479000000000: 99019
Mertens at 480000000000: 119618
Mertens at 481000000000: 91531
Mertens at 482000000000: 101174
Mertens at 483000000000: 101263
Mertens at 484000000000: 95189
Mertens at 485000000000: 116672
Mertens at 486000000000: 115352
Mertens at 487000000000: 84474
Mertens at 488000000000: 60268
Mertens at 489000000000: 73140
Mertens at 490000000000: 84785
Mertens at 491000000000: 87085
Mertens at 492000000000: 34009
Mertens at 493000000000: 70141
Mertens at 494000000000: 67872
Mertens at 495000000000: 65562
Mertens at 496000000000: 23765
Mertens at 497000000000: 31177
Mertens at 498000000000: 32188
Mertens at 499000000000: 40097
Mertens at 500000000000: 56804
Mertens at 501000000000: 7794
Mertens at 502000000000: 27056
Mertens at 503000000000: 40424
Mertens at 504000000000: 4294
Mertens at 505000000000: 4289
Mertens at 506000000000: 28398
Mertens at 507000000000: 29497
Mertens at 508000000000: 37500
Mertens at 509000000000: 29851
Mertens at 510000000000: -4363
Mertens at 511000000000: 14905
Mertens at 512000000000: 23356
Mertens at 513000000000: 33741
Mertens at 514000000000: 26931
Mertens at 515000000000: 10506
Mertens at 516000000000: 4459
Mertens at 517000000000: -12568
Mertens at 518000000000: -61120
Mertens at 519000000000: -72272
Mertens at 520000000000: -33218
Mertens at 521000000000: -21083
Mertens at 522000000000: -33874
Mertens at 523000000000: -8384
Mertens at 524000000000: 6225
Mertens at 525000000000: -9454
Mertens at 526000000000: -8131
Mertens at 527000000000: 11288
Mertens at 528000000000: -58914
Mertens at 529000000000: -52111
Mertens at 530000000000: -84462
Mertens at 531000000000: -99365
Mertens at 532000000000: -142375
Mertens at 533000000000: -170945
Mertens at 534000000000: -184246
Mertens at 535000000000: -203343
Mertens at 536000000000: -169964
Mertens at 537000000000: -212154
Mertens at 538000000000: -202492
Mertens at 539000000000: -190932
Mertens at 540000000000: -176270
Mertens at 541000000000: -140323
Mertens at 542000000000: -120618
Mertens at 543000000000: -159435
Mertens at 544000000000: -152666
Mertens at 545000000000: -159521
Mertens at 546000000000: -149308
Mertens at 547000000000: -156984
Mertens at 548000000000: -148198
Mertens at 549000000000: -157425
Mertens at 550000000000: -141917
Mertens at 551000000000: -151859
Mertens at 552000000000: -147024
Mertens at 553000000000: -122545
Mertens at 554000000000: -118738
Mertens at 555000000000: -135643
Mertens at 556000000000: -118363
Mertens at 557000000000: -125704
Mertens at 558000000000: -156867
Mertens at 559000000000: -178419
Mertens at 560000000000: -172601
Mertens at 561000000000: -178571
Mertens at 562000000000: -195046
Mertens at 563000000000: -189510
Mertens at 564000000000: -206327
Mertens at 565000000000: -198637
Mertens at 566000000000: -191078
Mertens at 567000000000: -164227
Mertens at 568000000000: -161649
Mertens at 569000000000: -158548
Mertens at 570000000000: -126833
Mertens at 571000000000: -160000
Mertens at 572000000000: -138091
Mertens at 573000000000: -147133
Mertens at 574000000000: -135486
Mertens at 575000000000: -140779
Mertens at 576000000000: -160736
Mertens at 577000000000: -190242
Mertens at 578000000000: -184406
Mertens at 579000000000: -183809
Mertens at 580000000000: -118576
Mertens at 581000000000: -131605
Mertens at 582000000000: -165975
Mertens at 583000000000: -182216
Mertens at 584000000000: -143841
Mertens at 585000000000: -91374
Mertens at 586000000000: -34924
Mertens at 587000000000: -42025
Mertens at 588000000000: -42339
Mertens at 589000000000: -75494
Mertens at 590000000000: -90546
Mertens at 591000000000: -106376
Mertens at 592000000000: -127320
Mertens at 593000000000: -97349
Mertens at 594000000000: -90561
Mertens at 595000000000: -51647
Mertens at 596000000000: -85486
Mertens at 597000000000: -99445
Mertens at 598000000000: -19217
Mertens at 599000000000: -30214
Mertens at 600000000000: -43099
Mertens at 601000000000: -78278
Mertens at 602000000000: -60751
Mertens at 603000000000: -67147
Mertens at 604000000000: -70065
Mertens at 605000000000: -51287
Mertens at 606000000000: -77310
Mertens at 607000000000: -94463
Mertens at 608000000000: -98124
Mertens at 609000000000: -59156
Mertens at 610000000000: -32466
Mertens at 611000000000: -53365
Mertens at 612000000000: -33240
Mertens at 613000000000: -37293
Mertens at 614000000000: -20367
Mertens at 615000000000: -21494
Mertens at 616000000000: -15234
Mertens at 617000000000: -14385
Mertens at 618000000000: -2357
Mertens at 619000000000: 37969
Mertens at 620000000000: 29927
Mertens at 621000000000: 38304
Mertens at 622000000000: 69593
Mertens at 623000000000: 107801
Mertens at 624000000000: 91149
Mertens at 625000000000: 90756
Mertens at 626000000000: 80393
Mertens at 627000000000: 89150
Mertens at 628000000000: 67012
Mertens at 629000000000: 63777
Mertens at 630000000000: 40146
Mertens at 631000000000: 74678
Mertens at 632000000000: 30480
Mertens at 633000000000: 44976
Mertens at 634000000000: 29429
Mertens at 635000000000: 71324
Mertens at 636000000000: 66320
Mertens at 637000000000: 62118
Mertens at 638000000000: 43160
Mertens at 639000000000: 92949
Mertens at 640000000000: 104431
Mertens at 641000000000: 92719
Mertens at 642000000000: 112295
Mertens at 643000000000: 105707
Mertens at 644000000000: 62921
Mertens at 645000000000: 102493
Mertens at 646000000000: 118652
Mertens at 647000000000: 172737
Mertens at 648000000000: 188959
Mertens at 649000000000: 204796
Mertens at 650000000000: 199762
Mertens at 651000000000: 219257
Mertens at 652000000000: 232860
Mertens at 653000000000: 222145
Mertens at 654000000000: 209657
Mertens at 655000000000: 216772
Mertens at 656000000000: 211475
Mertens at 657000000000: 231126
Mertens at 658000000000: 244302
Mertens at 659000000000: 278500
Mertens at 660000000000: 303161
Mertens at 661000000000: 324800
Mertens at 662000000000: 288517
Mertens at 663000000000: 277726
Mertens at 664000000000: 294091
Mertens at 665000000000: 269491
Mertens at 666000000000: 254754
Mertens at 667000000000: 248803
Mertens at 668000000000: 240338
Mertens at 669000000000: 237765
Mertens at 670000000000: 231453
Mertens at 671000000000: 243702
Mertens at 672000000000: 222129
Mertens at 673000000000: 213741
Mertens at 674000000000: 197569
Mertens at 675000000000: 200891
Mertens at 676000000000: 194957
Mertens at 677000000000: 149116
Mertens at 678000000000: 92705
Mertens at 679000000000: 110575
Mertens at 680000000000: 157974
Mertens at 681000000000: 166211
Mertens at 682000000000: 203178
Mertens at 683000000000: 218898
Mertens at 684000000000: 168968
Mertens at 685000000000: 214573
Mertens at 686000000000: 233554
Mertens at 687000000000: 182682
Mertens at 688000000000: 157010
Mertens at 689000000000: 92075
Mertens at 690000000000: 60232
Mertens at 691000000000: 45991
Mertens at 692000000000: 61935
Mertens at 693000000000: 91681
Mertens at 694000000000: 66765
Mertens at 695000000000: 91611
Mertens at 696000000000: 127464
Mertens at 697000000000: 94024
Mertens at 698000000000: 97941
Mertens at 699000000000: 103438
Mertens at 700000000000: 111011
