                                            GP/PARI CALCULATOR Version 2.7.5 (released)
                                    amd64 running linux (x86-64/GMP-6.0.0 kernel) 64-bit version
                            compiled: Nov 10 2015, gcc version 5.2.1 20151028 (Ubuntu 5.2.1-23ubuntu1) 
                                                     threading engine: pthread
                                           (readline v6.3 enabled, extended help enabled)

                                               Copyright (C) 2000-2015 The PARI Group

PARI/GP is free software, covered by the GNU General Public License, and comes WITHOUT ANY WARRANTY WHATSOEVER.

Type ? for help, \q to quit.
Type ?12 for how to get moral (and possibly technical) support.

parisize = 8000000, primelimit = 500000
   realprecision = 115 significant digits (100 digits displayed)
1000144.437406744092688408898506774206915323448063587444584949643078167315717593209661100829823050431 + 0.04146302756152040653976828306414241658837335131480662821868240312382231429277415945600708878945568160*I
1000146.327210198256673064489420692062440200609411496099174314335691000183553971165604642740567741683 + 0.05414125813191666447652849183652572693489755701702285458886021638480635839013014993019541962506385571*I
1000148.093491418991730387240205681038575694585389501890573288970496948335140186015527654548299823748 + 0.04319319815586021501825709065314293491540315554141810240910484706995564120534325427420458544396460570*I
1000149.090650647232090109785845495775170531468040426782332091575298287231241782788011130138586923365 + 0.04274644221539922555883013075502763871001382251318778929821909845149372225796855595649571589229416614*I
1000149.809440702985834171130412338855967581223938465020573223367137613841470271071427226306039959602 + 0.04027951537558189029915818761545157074031227440697788543447922502214990611333788248321012968650482646*I
1000153.730768247443547306421213127353836286492903054480473908157207449777938831162101086412596002210 + 0.04560179292159885840289398684102565340973253075026931074166461362199300899576886283341930516770406359*I
1000154.464849100773745065011890265556565449918980227099893399589288464541705993753740952628406932069 + 0.04974428382121022314555424998579828065213394880183911130572427200100638178713101848462853494233050884*I
1000159.074820680635472595519304058564082563190168971657847251357890877198113584835765987477535574325 + 0.06736435332143552600425153271831022609463468529609417976059762572062730621707707853205632182502795279*I
1000161.804081122713595316736556050620284071096916768253611738146824181388944247546665428232854855798 + 0.05119406829588374793868336046609552416095265420746970814855508246538643203059276329900189655370437535*I
1000163.655054439633627288445949419154315977561512083444668527455675499866385214192457923808178501258 + 0.04124138880212763414005753418291556529111448170425989458536488898612840587651468894540009292480426497*I
1000166.413112013645829067500517633959515505341975167789822743227612821147603488771029068002360676736 + 0.04677310384729221154381346841163185351191636323693193512338732467541484649497212796627228547468757551*I
1000167.167139551394238426656039657110414243044211951020137740017816334980405952091798615147739738745 + 0.05488139251175491378539221932362674770806297967970000460921254061967524172262874240498766733195743239*I
1000171.780226325474726496547161309253011166281174172065663577798942269065157375797074257263096260454 + 0.06093360336501902549193982982571539147201514447588370093239461488205028885799550874814683171192165705*I
1000172.822549773740434892414394081047178945155577000861863140365573010384630405219016725189429982369 + 0.04166628387492361056567503824504048789220003063724967552088947076507999948906808807399129774395385101*I
1000179.165216376625768059052610939074560386664131894613423944264290661660865991521501710545377862928 + 0.06354299982201349032506827716349119711908416541019633809796623619697857626388999031430242582376964637*I
1000182.710867757405737759568199316369315243116639655291092798773969158635458518499919000357212590065 + 0.04387834041913129896358969208092806804222638329449946830136952424318903123013863673477363002592615664*I
1000183.784083949660328302170270546314033818090839600670406308908316873801927878661181408629912273976 + 0.06418995291926188850839943600290716297248158710315096909765049662775053171151973785511394871817175750*I
1000184.516508420103549007053630969634518312465666768476944719105845417850359366161165080165100276053 + 0.06183278672675555772071265512926291246734672672214142463283581643426157297065945137376468919149811555*I
1000187.284024731653669238524455656994528402750355904579139962592146809440297189560910167593486428883 + 0.04952245036313263098996205728251962821086114549098501692846440607101008897200551322893604811974598730*I
1000189.148337891855966033678653946439568383831601921936780133636978841556545004150804843830851325263 + 0.05887590081957624064554355671101215989593299123550039041480590246242987718086050254778033976197952582*I
1000189.148337891855966033678653946439568383831601921936780133636978841556545004150804843830851325263 + 0.05887590081957624064554355671101215989593299123550039041480590246242987718086050254778033976197952582*I
1000196.513985314086634435400447713815907488448088205167647070667217364192656468261334312433569659975 + 0.05270734746117407244680084023324481623404586425349737292419474630399240457517566412834461223972920006*I
1000201.878269146590099323797881763088507749385839106182944551628088779465105083787184857355299989745 + 0.04523378926560230456650871794051148015497795246401627068322987545567212127758638976371181379536507024*I
1000204.633671633789251894093727022974485435660206291448150744444335341526383484183433781963333253232 + 0.05212101262785207013730158660280648875716975872156973550108182045893576290936598384587168172693213682*I
1000204.633671633789251894093727022974485435660206291448150744444335341526383484183433781963333253232 + 0.05212101262785207013730158660280648875716975872156973550108182045893576290936598384587168172693213682*I
1000206.502069089533064025909383076431490472982515397890707701733941101896201794594332804330065243280 + 0.04864664528648062372684858546247546530684969681197005504650321338565834828937957198881617705760532040*I
1000209.230694139573936259502097182948507845520694628408176463200024642078254674263252561023491051470 + 0.06646769317674217226729572824576020520408737786424808943873900713847097768276420044191093121475346487*I
1000214.590319646097526855836738727724785319464885939391264493045758962120280298605023348282327803918 + 0.04951945180963986948866455113165660351404328016805151889110172479394131261974252220216989316075021181*I
1000217.363020946985184671060531299144620451698309400359546739058675372409899909138108152992954506423 + 0.03692404374212025745043436055592189559184980126261842272847158852262879155879131142112849611938169590*I
1000218.493836229216266332573642306775906266065983576386920470922660455618599751125601337570815755452 + 0.05203270913084343551839447106307404356541831267277944241528286168901412876085295796589234213146977982*I
1000219.227015712391025849616410932235257146261509071822117563639111654184337193073352380093218124463 + 0.04381297504875187773595919795389654808008289669654397161824765103977503811636306382211278019948870043*I
1000221.988428438237970142467658979223186122876377269714551448333470436158958200035499515073777264990 + 0.05075632017153749655078887993397935060134979767757843669132123700975360706581847885051420818584895727*I
1000226.598152823444766683326469445011120919372113929791301083989103075329304339987793369423531260990 + 0.06780183054916552202380083440397241635615338692684112551256766029806743329476472185803424241179696044*I
1000228.361030758999635281597028107514419431662144289124109278037429047855493546686884863653790373287 + 0.02254432184353043871863753350688022759426807885962607880463878857431042230967299146832892331956826368*I
1000231.194668871371594305984297505189109451338232547659936094116796109475741529862736299670527024690 + 0.05765739583956258597034760216246869703783263277916300840392236713168766573945490668193175391582056387*I
1000234.689365003109167057016951623885868954182357899945929698153655211896162587496872993986988381844 + 0.05389880698056719382777318848784748476249340154439785444913453546164933053856776680700099070812707697*I
1000237.577559909019916906447660617134688144158802489761009741240099833561439878353020444901274385685 + 0.04623676757438196481130788452660931595538578298760082372303324329163838467150851316667639619283953954*I
1000239.320348380814901521433507648990397382583317021802600214507296337319957663875015883705483077528 + 0.06472591457656110095792696977885643220461018598182535352344876076112925620698801958520694748745402459*I
1000243.923564592064031147112160307671895431527155871545768555467369810881392872102983451314414238583 + 0.05308084019551281614067640944585800132962088361552552630069522787451351419364190417989235160107686179*I
1000246.683919503702553263391402074139231528636693511740667818955970526071985690937707766613533344148 + 0.04810260065085753794485646817367151777139978217063788401698062597025847437376693318927056289910800679*I
1000248.556183425616282633672916955510546191906761048201024184936046866360146494542769556538130347636 + 0.05848489227097372611199964880841519273456271017376996631549443824510559122075626403994266510410371696*I
1000251.312308555089841375183907800462104948777097176173330120248163925897088577986040025275622189091 + 0.04265037220647812612809002770211874039549554725891461727179293479868426149550451011755106823644603551*I
1000252.052861608435918975269621785299088646076531501641806247469549784515582470325677645567166038496 + 0.06880532966321159952680134568878897070521034972542772511452336394088835529577651027436778584726217426*I
1000252.052861608435918975269621785299088646076531501641806247469549784515582470325677645567166038496 + 0.06880532966321159952680134568878897070521034972542772511452336394088835529577651027436778584726217426*I
1000256.669326812824312460957397478922325051228339352142164293988607957886475103843550312592979994498 + 0.06131177660273619486522533101388177532597646451829533448195399871213547566995076644734862545984421632*I
1000259.380540960748546790895148957811048165735754508572507835491779236958014078665688491899508377761 + 0.04374994058276106738209477572140217182162820697891208853457950584494517749858487152083551911266702182*I
1000264.747065439794474301014328087921291562162025641845908444861660128427049508599920641613928201581 + 0.04737643162428345358981724990222084506545368928539510227927178895419369695945029730579542784631728338*I
